Date,AMZN,BA,DIS,IBM,KO,MSFT
2014-01-02,19.898500442504883,116.80793762207033,70.19251251220703,116.5713882446289,29.837297439575195,31.290830612182617
2014-01-03,19.82200050354004,117.619873046875,70.0452651977539,117.26879119873048,29.690528869628903,31.080299377441406
2014-01-06,19.68149948120117,118.29508209228516,69.77837371826172,116.86666107177734,29.55111122131348,30.423507690429688
2014-01-07,19.901500701904297,120.08988189697266,70.2569351196289,119.19768524169922,29.639158248901367,30.65928077697754
2014-01-08,20.09600067138672,120.3548355102539,69.22620391845703,118.10440063476562,29.308931350708008,30.1119384765625
2014-01-09,20.050500869750977,121.4744873046875,68.93167877197266,117.73373413085938,29.15485191345215,29.91826629638672
2014-01-10,19.882999420166016,121.27789306640624,69.38263702392578,117.65833282470705,29.44837760925293,30.34770965576172
2014-01-13,19.548999786376957,120.25227355957033,67.43157196044922,115.71056365966795,29.00807762145996,29.45513343811035
2014-01-14,19.87700080871582,119.66253662109376,68.51753997802734,116.81641387939452,29.12547874450684,30.1287841796875
2014-01-15,19.793500900268555,120.18389892578124,68.36107635498047,117.9599380493164,29.176847457885746,30.95400047302246
2014-01-16,19.790000915527344,119.83351135253906,68.29666137695312,118.6008071899414,29.140161514282227,31.06346321105957
2014-01-17,19.980499267578125,120.04718017578124,68.08499908447266,119.43643951416016,28.824630737304688,30.634021759033203
2014-01-21,20.352500915527344,121.08131408691406,68.28746032714844,118.39347839355467,29.294261932373047,30.457178115844727
2014-01-22,20.226999282836918,123.38893127441406,69.30900573730469,114.5104751586914,29.27958869934082,30.25509262084961
2014-01-23,19.99349975585937,120.7736358642578,68.83045959472656,114.81210327148438,28.795265197753903,30.364559173583984
2014-01-24,19.3799991607666,116.79086303710938,66.92538452148438,112.87059020996094,28.501739501953125,30.9960994720459
2014-01-27,19.31399917602539,117.39768981933594,66.49284362792969,111.7773208618164,28.42101287841797,30.33928680419922
2014-01-28,19.72150039672852,117.1668930053711,67.07266235351562,111.1175765991211,28.52375221252441,30.54138946533203
2014-01-29,19.209999084472656,110.91925048828124,65.64616394042969,110.83482360839844,27.81194305419922,30.869787216186523
2014-01-30,20.15049934387207,108.14157104492188,67.38554382324219,111.43800354003906,28.01007080078125,31.038209915161133
2014-01-31,17.934499740600586,107.05615234375,66.82416534423828,111.01074981689452,27.75324249267578,31.863428115844727
2014-02-03,17.3075008392334,105.19294738769533,64.41293334960938,108.63572692871094,27.29825782775879,30.71820831298828
2014-02-04,17.397499084472656,104.3041000366211,65.38846588134766,108.59799194335938,27.50372886657715,30.6087646484375
2014-02-05,17.322500228881836,103.75711822509766,66.0418930053711,109.47766876220705,27.59913825988769,30.16246795654297
2014-02-06,17.72949981689453,104.8425521850586,69.53907775878906,110.34947967529295,27.9073429107666,30.46560478210449
2014-02-07,18.054000854492188,108.56035614013672,69.64031982421875,111.97940063476562,27.84862899780273,30.78558921813965
2014-02-10,18.043500900268555,108.6800537109375,70.91956329345703,111.90995025634766,28.30359649658203,30.98767852783203
2014-02-11,18.089500427246094,111.24405670166016,71.59139251708984,113.52726745605467,28.35498046875,31.29923820495605
2014-02-12,17.462499618530273,110.12669372558594,71.70184326171875,113.868408203125,28.25956344604492,31.55185317993164
